"location","frequency","lat","lon","class","type","importance","country","continent","confidence"
"Sao Tomé",1,0.3389242,6.7313031,"place","city",0.61249323257079,"Sao Tome and Principe","Africa",1
"São Tomé",1,0.3389242,6.7313031,"place","city",0.71249323257079,"Sao Tome and Principe","Africa",1
"Sao Tome and",1,0.3389242,6.7313031,"place","city",0.61249323257079,"Sao Tome and Principe","Africa",1
"São Tomé and",2,0.3389242,6.7313031,"place","city",0.81249323257079,"Sao Tome and Principe","Africa",1
"Sao Tome and Principe",4,0.8875498,6.9648718,"boundary","administrative",0.62453645893284,NA,NA,1
"Saudi Arabia",1,25.6242618,42.3528328,"boundary","administrative",0.73526251715987,"Saudi Arabia","Asia",1
"Seasonal",1,-8.5401117,115.4964727,"waterway","stream",0.435,"Indonesia","Asia",0
"secondary",1,-2.6920226,114.3394597,"waterway","drain",0.425,"Indonesia","Asia",0
"sein",1,48.0379688,-4.85214035907643,"place","island",0.5603727091605,NA,NA,1
"sen",1,41.1343702,-83.1194199,"boundary","administrative",0.61844143092686,"United States of America","North America",0
"Senegal",12,14.4750607,-14.4529612,"boundary","administrative",0.7011432334198,"Senegal","Africa",1
"Sep n/a",1,-31.4599102,-64.1657309,"boundary","administrative",0.6,"Argentina","South America",0
"Serbia",1,44.02432285,21.076574332099,"boundary","claimed_administrative",0.87725364601547,"Republic of Serbia","Europe",1
"service",1,37.9714344,-91.1459717,"place","hamlet",0.35,"United States of America","North America",0
"Seychelles",2,-4.6574977,55.4540146,"boundary","administrative",0.6471002932299,"Seychelles","Africa",0
"Sharif",1,33.8450001,46.2393702,"place","hamlet",0.33596057896493,"Iran","Asia",1
"Sierra Leone",9,8.6400349,-11.8400269,"boundary","administrative",0.86689571917961,"Sierra Leone","Africa",1
"Simbabwe",1,-18.4554963,29.7468414,"boundary","administrative",0.69789712687919,"Zimbabwe","Africa",1
"Singapur",1,1.340863,103.830391822121,"place","island",0.74327675510591,"Singapore","Asia",0
"Somalia",4,8.3676771,49.083416,"boundary","administrative",0.6812394356224,"Somalia","Africa",0.75
"Source",1,48.67246,5.3449431,"waterway","stream",0.435,"France","Europe",1
"South Africa",11,-28.8166236,24.991639,"boundary","administrative",0.98290762770307,"South Africa","Africa",0.5
"South East",1,59.6749712,14.5208584,"boundary","administrative",0.84163245433824,"Sweden","Europe",1
"soziokulturelle",2,51.42228985,14.5395220832877,"building","yes",0.101,"Germany","Europe",0.5
"Spain",3,39.3262345,-4.8380649,"boundary","administrative",0.86555250451803,"Spain","Europe",1
"Sri Lanka",1,7.5554942,80.7137847,"boundary","administrative",0.73031209401858,"Sri Lanka","Asia",0
"Stadt Kabul",2,34.5260131,69.1776476,"place","city",0.67169254620454,"Afghanistan","Asia",1
"Stadt Kunduz",3,36.7175566,68.8672916,"place","city",0.43894963897932,"Afghanistan","Asia",1
"stauben",1,46.8653046,8.8169572,"waterway","stream",0.325,"Switzerland","Europe",1
"Steuer",1,47.5171323,13.4456885,"place","hamlet",0.36,"Austria","Europe",1
"Strassen",1,53.1881955,11.4449961,"place","hamlet",0.55864188562392,"Germany","Europe",1
"Strategy",2,1.3300523,103.746583210186,"building","yes",0.101,"Singapore","Asia",0
"Studie",1,56.5920467,25.3397749,"place","isolated_dwelling",0.25,"Latvia","Europe",1
"Südafrika",2,-28.8166236,24.991639,"boundary","administrative",0.78290762770307,"South Africa","Africa",0
"Sweden",4,59.6749712,14.5208584,"boundary","administrative",0.84163245433824,"Sweden","Europe",1
"Switzerland",1,46.7985624,8.2319736,"boundary","administrative",0.82648517157525,"Switzerland","Europe",1
"SY",1,34.6401861,39.0494106,"boundary","administrative",0.75251961925958,"Syria","Asia",1
"Tadschikistan",5,38.6281733,70.8156541,"boundary","administrative",0.6836792205108,"Tajikistan","Asia",1
"Talokan",1,1.0756,121.7814,"place","village",0.385,"Indonesia","Asia",0
"Tanzania",4,-6.5247123,35.7878438,"boundary","administrative",0.81684812238494,"United Republic of Tanzania","Africa",0.5
"teachers",1,21.65151355,69.6830811324248,"place","locality",0.35,"India","Asia",1
"Teil",7,44.5493789,4.6829629,"boundary","administrative",0.61139751661186,"France","Europe",1
"Telefon",3,41.9306655,2.4152255,"place","locality",0.25,"Spain","Europe",0.666666666666667
"tern",1,42.4436987,21.1312926,"place","village",0.3084052171665,"Kosovo","Europe",1
"the caribbean",1,18.4,-75,"place","region",0.79534227083489,NA,NA,0
"tkm",1,32.3274558,35.0844741841166,"boundary","disputed",0.40668194371451,"West Bank","Europe",1
"Togo",6,8.7800265,1.0199765,"boundary","administrative",0.76999263343273,"Togo","Africa",1
"Tokio",1,35.6828387,139.7594549,"boundary","administrative",0.75933119149253,"Japan","Asia",0
"Tota",2,5.4766073,-73.01337605029,"boundary","administrative",0.52343531728024,"Colombia","South America",0
"Tranche",2,43.357258,1.5231392,"place","isolated_dwelling",0.36,"France","Europe",1
"Trend",1,55.0383763,-120.9887541,"place","locality",0.36,"Canada","North America",0
"Tripolis",1,32.896672,13.1777923,"place","city",0.61906187251167,"Libya","Africa",1
"Tunesien",4,33.8439408,9.400138,"boundary","administrative",0.73400678006166,"Tunisia","Africa",1
"Tunis",1,33.8439408,9.400138,"boundary","administrative",0.73400678006166,"Tunisia","Africa",1
"Turkey",2,38.9597594,34.9249653,"boundary","administrative",0.81228965241841,"Turkey","Europe",1
"Turkmenistan",2,39.3763807,59.3924609,"boundary","administrative",0.68147905740964,"Turkmenistan","Asia",1
"u.a .",1,44.56238785,27.37228975,"building","apartments",0.211,"Romania","Europe",1
"Uganda",3,1.5333554,32.2166578,"boundary","administrative",0.80702096784427,"Uganda","Africa",1
"Ukraine",1,49.4871968,31.2718321,"boundary","administrative",0.81644424391642,"Ukraine","Europe",1
"Umsp",1,54.1040278,28.5780364,"aeroway","aerodrome",0.001,"Belarus","Europe",1
"United Kingdom",6,54.7023545,-3.2765753,"place","country",1.0723780132837,"United Kingdom","Europe",1
