"location","frequency","lat","lon","class","type","importance","country","continent","confidence"
"Ghana",1,8.0300284,-1.0800271,"boundary","administrative",0.82202914068053,"Ghana","Africa",1
"Ghazni",2,33.3149631,67.828989,"boundary","administrative",0.51753079462501,"Afghanistan","Asia",1
"Gl",1,77.6192349,-42.8125967,"boundary","administrative",0.6774248677562,"Greenland","Europe",0
"gleich­",1,49.3533259,7.141301,"craft","painter",0.101,"Germany","Europe",0
"Gleneagles",1,56.2835988,-3.7469287,"place","village",0.385,"United Kingdom","Europe",0
"good",1,39.3575994,-78.361118,"place","hamlet",0.35,"United States of America","North America",0
"Grades 1",1,46.9792584,14.251006,"place","village",0.385,"Austria","Europe",1
"Grant",1,45.9358795,-96.0272071,"boundary","administrative",0.61719628960106,"United States of America","North America",0
"Guatemala",1,15.6356088,-89.8988087,"boundary","administrative",0.82070928738232,"Guatemala","South America",0
"Guinea",2,10.7226226,-10.7083587,"boundary","administrative",0.67471435834937,"Guinea","Africa",1
"Guinea-Bissau",1,12.100035,-14.9000214,"boundary","administrative",0.74767500574232,"Guinea Bissau","Africa",1
"Hedrich",3,47.5235773,12.4122068,"place","locality",0.36,"Austria","Europe",1
"Heiligendamm",2,54.1416699,11.8428302,"railway","station",0.4224087281721,"Germany","Europe",0
"Helmand",1,31,64,"boundary","administrative",0.52289235622114,"Afghanistan","Asia",1
"Helwan",1,29.8500001,31.333333,"place","town",0.43161572718758,"Egypt","Africa",1
"Herat",54,34.3508273,62.2164003,"place","city",0.54154923762169,"Afghanistan","Asia",1
"India",3,22.3511148,78.6677428,"boundary","administrative",0.95768913588099,"India","Asia",0.666666666666667
"Indien",3,22.3511148,78.6677428,"boundary","administrative",0.84768913588099,"India","Asia",0.5
"Ingenieur",1,32.6475314,54.5643516,"boundary","administrative",0.82470270361523,"Iran","Asia",1
"Innenstadt",1,50.1129932,8.67434144448113,"boundary","administrative",0.50617955137447,"Germany","Europe",0
"Interesse",1,-22.8230883,-47.1099168118134,"boundary","protected_area",0.43129130556068,"Brazil","South America",0
"Iran",8,32.6475314,54.5643516,"boundary","administrative",0.82470270361523,"Iran","Asia",1
"Ireland",1,52.865196,-7.9794599,"boundary","administrative",0.88384578739284,"Ireland","Europe",1
"Irland",1,52.865196,-7.9794599,"boundary","administrative",0.77384578739284,"Ireland","Europe",0
"Islamic Republic of Afghanistan",4,33.7680065,66.2385139,"boundary","administrative",0.74702748283731,"Afghanistan","Asia",1
"Istanbul",1,41.0096334,28.9651646,"place","city",0.71476566810029,NA,NA,1
"Italy",1,42.6384261,12.674297,"boundary","administrative",0.88310190314406,"Italy","Europe",1
"IW",2,51.707496,8.77040760155107,"building","university",0.111,"Germany","Europe",1
"IX",1,-38.6710116,-72.2564576,"boundary","administrative",0.49686821744635,"Chile","South America",0
"Jalalabad",2,27.6768536,79.5397840151461,"boundary","administrative",0.56,"India","Asia",0.5
"Japan",3,36.5748441,139.2394179,"boundary","administrative",0.87101332654625,"Japan","Asia",0
"Jordan",1,31.1667049,36.941628,"boundary","administrative",0.71622177134684,"Jordan","Asia",1
"Jordanien",4,31.1667049,36.941628,"boundary","administrative",0.71622177134684,"Jordan","Asia",1
"Ka­",1,14.5203896,75.7223521,"boundary","administrative",0.77680607070145,"India","Asia",1
"Ka- bul",1,68.4262463,18.5075809,"railway","station",0.001,"Sweden","Europe",1
"kabul",1,34.5260131,69.1776476,"place","city",0.67169254620454,"Afghanistan","Asia",1
"Kabul",88,34.5260131,69.1776476,"place","city",0.67169254620454,"Afghanistan","Asia",1
"Kabul River",4,34.3941976,70.5485459,"waterway","river",0.35,"Afghanistan","Asia",1
"Kairo",15,30.048819,31.243666,"place","city",0.69602861356016,"Egypt","Africa",1
"Kamerun",1,4.6125522,13.1535811,"boundary","administrative",0.71926680525703,"Cameroon","Africa",1
"Kanada",2,61.0666922,-107.9917071,"boundary","administrative",0.86612591096541,"Canada","North America",0
"Kandahar",2,31.6257718,65.7144771,"place","city",0.53595587552911,"Afghanistan","Asia",1
"Kapverden",4,17.05552855,-25.1723049113636,"place","archipelago",0.38050525079598,"Cape Verde","Africa",0
"Kazakhstan",1,47.2286086,65.2093197,"boundary","administrative",0.76251957733809,"Kazakhstan","Asia",1
"kei­",1,25.3268078,83.0318039,"railway","station",0.35050193638341,"India","Asia",1
"Kenia",1,1.4419683,38.4313975,"boundary","administrative",0.72648859838363,"Kenya","Africa",0
"Kennung",1,48.2106216,16.2471323,"man_made","tower",0.101,"Austria","Europe",1
"Kenya",9,1.4419683,38.4313975,"boundary","administrative",0.83648859838363,"Kenya","Africa",1
"Kenya Shillings",2,41.0583911,-80.9859246,"place","hamlet",0.35,"United States of America","North America",0
"KfW.",1,41.3299095,19.8076110146762,"building","retail",0.111,"Albania","Europe",1
"Khan",1,37.9557275,-3.49205561203722,"boundary","administrative",0.54725460838976,"Spain","Europe",1
"Khanabad",1,36.603113,69.104049,"boundary","administrative",0.39446322295599,"Afghanistan","Asia",1
"Klima",1,36.79758605,24.5949836776188,"place","island",0.325,NA,NA,1
"Ko-",1,35.672803,47.0124376,"boundary","administrative",0.58158549483215,"Iran","Asia",1
"Korea",1,35.7724185,127.796543463056,"boundary","administrative",0.8024195921474,"South Korea","Asia",0
"Kosten",1,52.086325,16.6449995,"boundary","administrative",0.45243330859946,"Poland","Europe",1
"Kot",1,46.5435284,16.386049,"place","village",0.47198120205458,"Slovenia","Europe",1
"Krediten",2,59.2950161,17.9857864023236,"place","city_block",0.31,"Sweden","Europe",1
"Kuala Lumpur",1,3.1516964,101.6942371,"boundary","administrative",0.85059130045396,"Malaysia","Asia",0
"Kunduz",22,36.8707187,68.7563528,"boundary","administrative",0.47331917812472,"Afghanistan","Asia",1
"Kuwait",2,29.2733964,47.4979476,"boundary","administrative",0.69560180215366,"Kuwait","Asia",1
"Kyrgyzstan",1,41.5089324,74.724091,"place","country",0.80947152533459,"Kyrgyzstan","Asia",1
"Laghman",1,34.783333,70.183333,"boundary","administrative",0.48204191568061,"Afghanistan","Asia",1
"Land conflict",1,52.4490843,13.2948194689135,"building","yes",0.201,"Germany","Europe",0
"Land der Welt",2,54.3030491,8.7946092,"boundary","administrative",0.77523561679375,NA,NA,1
"Lesotho",2,-29.6039267,28.3350193,"boundary","administrative",0.75309952897516,"Lesotho","Africa",0
"lfd",1,40.7902154,-96.6068877,"man_made","tower",0.101,"United States of America","North America",0
"Liberia",5,5.7499721,-9.3658524,"boundary","administrative",0.77493857339783,"Liberia","Africa",1
"Library and laboratory",1,40.1550713,-80.2133927,"place","hamlet",0.42240577543483,"United States of America","North America",0
"Libyen",5,26.8234472,18.1236723,"boundary","administrative",0.70410242177042,"Libya","Africa",1
"line",5,38.4651663,-100.4776682,"boundary","administrative",0.51368827533055,"United States of America","North America",0
"Livingstone/Sambia",1,-17.853135,25.861429,"place","city",0.53133506199099,"Zambia","Africa",0
"London",1,51.5073219,-0.1276474,"place","city",0.94078276162373,"United Kingdom","Europe",0
"losen 1",1,49.8937996,13.2903616,"boundary","administrative",0.43037058586178,"Czech Republic","Europe",1
"losen 3",1,49.8937996,13.2903616,"boundary","administrative",0.43037058586178,"Czech Republic","Europe",1
"losen 4",1,49.8937996,13.2903616,"boundary","administrative",0.43037058586178,"Czech Republic","Europe",1
"losen 5",1,49.8937996,13.2903616,"boundary","administrative",0.43037058586178,"Czech Republic","Europe",1
"losen 6",1,49.8937996,13.2903616,"boundary","administrative",0.43037058586178,"Czech Republic","Europe",1
"Lowgar",1,34.0653595,69.160172,"boundary","administrative",0.48214072515968,"Afghanistan","Asia",1
"Luxembourg",1,49.8158683,6.1296751,"boundary","administrative",0.72827867579404,"Luxembourg","Europe",1
"M:::f¿Lai",1,-7.3547013,141.2657136,"waterway","river",0.54200287341256,"Papua New Guinea","Australia",0
"m^",1,-13.2687204,33.9301963,"boundary","administrative",0.76011925088476,"Malawi","Africa",0
"Ma­",1,41.8933203,12.4829321,"boundary","administrative",0.88961071806895,"Italy","Europe",0
"Maghreb",1,33.38367245,44.3733934303913,"boundary","administrative",0.36,"Iraq","Asia",1
"Malaysia",1,4.5693754,102.2656823,"boundary","administrative",0.87748750887432,"Malaysia","Asia",0
"Mali",6,16.3700359,-2.2900239,"boundary","administrative",0.80078108892941,"Mali","Africa",1
"Manila",1,14.5970139,120.983978069871,"boundary","administrative",0.76017265517219,"Philippines","Asia",0
"Mantis",1,43.0940313,-0.2393039,"place","isolated_dwelling",0.36,"France","Europe",1
"many",1,49.0026397,6.5218763,"boundary","administrative",0.64847812051745,"France","Europe",0
"mar­",1,43.3458388,13.1415872,"boundary","administrative",0.75375046285158,"Italy","Europe",1
"Marokko",3,31.1728205,-7.3362482,"boundary","administrative",0.78107471798694,"Morocco","Africa",1
"Marsa-e-",1,42.8225242,2.1551881,"boundary","administrative",0.74215046032435,"France","Europe",1
"Mauritius",9,-20.2759451,57.5703566,"boundary","administrative",0.77983129333839,"Mauritius","Africa",0
"Mazar",4,52.0475464,29.2667179,"boundary","administrative",0.4746713142424,"Belarus","Europe",1
"Medians",1,42.5322569,0.2958593,"natural","peak",0.4,"Spain","Europe",0
"military",1,59.7878683,132.6829939,"waterway","river",0.35,"Russia","Europe",0
"Million",2,46.8168155,12.1545933,"natural","peak",0.41,"Italy","Europe",1
"Million €",3,46.8168155,12.1545933,"natural","peak",0.41,"Italy","Europe",0.5
"millions",3,44.0329416,-0.1270174,"place","isolated_dwelling",0.35,"France","Europe",0
"ministry",1,50.76873195,0.288531192694059,"building","yes",0.101,NA,NA,1
"Mio",1,44.652236,-84.129728,"place","village",0.46551546332145,"United States of America","North America",0
"mis­",1,-26.737224,-54.4315257,"boundary","administrative",0.63783397421546,"Argentina","South America",0
"Mittel",4,48.9665359,9.6058148,"place","locality",0.36,"Germany","Europe",0.666666666666667
"mo­",1,38.7604815,-92.5617875,"boundary","administrative",0.73288134470033,"United States of America","North America",0
"Moderne",1,43.0453626,-87.9148588993762,"building","apartments",0.30753452139903,"United States of America","North America",0
"mon­",1,43.4339567,-0.6543572,"boundary","administrative",0.65445471404864,"France","Europe",1
"more",1,24.2481189,94.3028748,"place","town",0.4,"Myanmar","Asia",0
"Mozambique",5,-19.302233,34.9144977,"boundary","administrative",0.69086964004233,"Mozambique","Africa",0
"Ms",1,32.9715645,-89.7348497,"boundary","administrative",0.70039177854526,"United States of America","North America",0
"n­",1,60.5000209,9.0999715,"boundary","administrative",0.91469652197847,"Norway","Europe",0
"National",1,39.5839716,-80.0375691,"place","hamlet",0.3991390262728,"United States of America","North America",0
